Company,Job Title,Required Skills,Experience,Qualification
PIER HR SERVICES ,Microbiologoist,"['microbiologist', 'Analysis', 'microbiology', 'Innoculum', 'Innoculation']",3-6 Yrs,['Any Postgraduate']
Venus Associates ,Manager production @ MNC_Hosur,"['New Product Development', 'Supplier selection for capital goods', 'Machine Installation completion finalization', 'machining fixtures']",12-15 Yrs,"['Diploma in Mechanical, B.Tech/B.E. in Mechanical']"
JOB JUNCTION INDIA.COM  ,Chemistry,"['Chemistry', 'Bsc', 'Msc', 'chemist', 'Biotechnology', 'medical', 'Molecular Biology', 'Microbiology']",1-3 Yrs,"['B.Sc in Bio-Chemistry, Chemistry', 'MS/M.Sc(Science) in Bio-Chemistry, Chemistry']"
HR Ace,Pune | Solution Architect,"['Promotions', 'New Product Development', 'Cost Effective', 'Finance', 'Market Share', 'Service Sales', 'Region']",9-14 Yrs,"['B.Tech/B.E. in Any Specialization', 'M.Tech in Any Specialization']"
N tech IT solutions Pvt Ltd,SAP Functional PP Consultant,"['SAP QM', 'SAP WM', 'SAP', 'Process Industry', 'SAP- MES', 'Chemical', 'QM modules', 'SAP PP']",8-9 Yrs,['M.Tech in Any Specialization']
SKILLVENTORY,Deputy Manager - Consumer Insights For a Global Food Brand,"['media planning', 'market research', 'Quantitative', 'Qualitative', 'Consumer Insights']",4-7 Yrs,['MBA/PGDM in Any Specialization']
Capital Placement Services,"R & D Executive For Agrochemical Industry in Saykha,Gujarat.","['R & D Executive', 'PDR preparations', 'gujrat', 'agro chemical', 'workup chemical', 'Scifinder', 'bharuch', 'Green Field Projects']",5-10 Yrs,"['MS/M.Sc(Science) in Chemistry', 'Ph.D/Doctorate in Chemistry']"
Balaji Placement  ,AutoCAD Draughtsman For Manesar -Haryana,"['Draftsman Activities', 'AutoCAD 2D', '2D']",1-5 Yrs,['Graduation Not Required']
Skill Associates  ,Openings For Foundry Metallurgist in Manufacturing Company Gummidipond,"['New Product Development', 'Metallurgy', 'Sop Preparation', 'Audit Management', 'quality']",8-12 Yrs,['B.Tech/B.E. in Metallurgy']
Creative Engineering Consultants India Pvt Ltd ,Catia - Vehicle Intergration / Plastic Body Design - Bangalore -3 -6 y,"['CATIA', 'design engineer', 'Plastic', 'vehicle intergration', 'body design', 'Plastic Design']",3-8 Yrs,"['Diploma in Mechanical, B.Tech/B.E. in Automobile, Mechanical']"
E2E Consultants    ,Project Manager/R&D-Thane Mumbai.,"['R&D', 'Project Management', 'Cell Culture', 'Life Sciences', 'Biotechnology', 'SAP']",5-9 Yrs,"['MS/M.Sc(Science) in Biotechnology', 'Ph.D/Doctorate in Biotechnology']"
EDGE IN ASIA RECRUITMENT PRIVATE LIMITED  ,Branch Operations,"['Branch Operations', 'Reinsurance', 'Project Management', 'Insurance']",5-10 Yrs,"['Any Graduate', 'Any Postgraduate']"
NVS Consultants Pvt. Ltd. ,Assistant Manager Quality ( Auto Ancillary ) - Indore,"['Kaizen', '5S System', 'QC Engineering', 'Customer Handling', 'Quality Control', 'Quality Circle', 'New Product Development', 'PPM']",6-10 Yrs,['B.Tech/B.E. in Mechanical']
HR Capital Consulting   ,Junior Merchandiser- Garment Export,"['Garment Merchandising', 'Product Development', 'Embroidery', 'Apparel Merchandising', 'New Product Development', 'Apparel Industry', 'Garment Construction', 'Merchandising']",1-3 Yrs,"['B.Tech/B.E. in Textile, Any Graduate']"
Jobline Consultants India Pvt. Ltd.   ,Urgent Requirement || Big Four Firms || QA Testing,"['Java', 'Automation', 'Selenium', 'Rest Assured', 'Cucumber', 'IT Skills']",3-8 Yrs,['Any Graduate']
Mpowering HR Solutions  ,Customer Experience Head,"['Engagement Management', 'Customer Satisfaction', 'Customer Service Management', 'Delivery Leadership', 'Delivery Management', 'Escalation Management', 'Service Improvement', 'Customer Analysis']",12-16 Yrs,"['B.Tech/B.E. in Electronics/Telecommunication, Computers', 'M.Tech in Electronics/Telecommunication, Computers, MBA/PGDM in Advertising/Mass Communication, Information Technology, International Business, Marketing, Systems, Operations']"
Nalanda Corporate Services Private Limited ,AR&D,"['AR&D', 'API Manufacturing', 'API', 'Bulk Drugs']",1-3 Yrs,"['B.Sc in Chemistry', 'M.Pharma in Any Specialization, MS/M.Sc(Science) in Chemistry']"
GVMS Infotech Private Limited ,Delivery Manager(Digital/Ecommerce),"['Agile', 'Ecommerce', 'Scrum', 'Delivery Manager', 'IT Skills', 'Java', 'Python', 'PHP']",10-15 Yrs,['Any Graduate']
GNH Solutions,immediate openings For Java Developer Experience,"['Hibernate', 'java', 'Spring Mvc', 'j2ee', 'Spring', 'core Java', 'MVC', 'IT Skills']",1-3 Yrs,"['Diploma in Any Specialization, B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization, Any Graduate, BCA in Computers', 'Any Postgraduate, M.Tech in Any Specialization, Post Graduation Not Required, MS/M.Sc(Science) in Any Specialization', 'Doctorate Not Required']"
Creative Solution India ,Mechanical  catia v5  solid edge  design profiles ( 1To 6 years),['catia solid edge design engineer'],1-6 Yrs,"['Diploma in Mechanical, B.Tech/B.E. in Mechanical']"
ANAGH MANAGEMENT SERVICES PRIVATE LIMITED ,Assistant Brand Manager,"['npd', 'New Product Development', 'brand management', 'marketing']",3-8 Yrs,['MBA/PGDM in Any Specialization']
People Resources    ,Technology Transfer Executive,"['Technology Transfer', 'Scale Up', 'Pilot Plant', 'RPD', 'Scaling', 'Tech Transfer', 'FPD']",2-6 Yrs,['B.Tech/B.E. in Chemical']
Matrix job Solutions  ,Software Developer,"['SQL programming', 'Oracle Forms & Reports', 'migration Oracle forms 11G and adding new functionalities']",3-6 Yrs,"['BCA in Any Specialization', 'MCA in Any Specialization']"
SHAVISH HR AND DIGITAL MARKETING PRIVATE LIMITED ,Embedded Developer,"['Embedded C', 'can', 'Embedded']",4-9 Yrs,"['B.Tech/B.E. in Any Specialization, Any Graduate']"
Prescription Pharma Support Private Limited  ,Assistant Manager - API R&D - Synthesis,"['API R&D', 'API Synthesis']",7-10 Yrs,"['B.Sc in Any Specialization', 'M.Pharma in Any Specialization, MS/M.Sc(Science) in Any Specialization']"
ACZ Global Private Limited,M&A Manager,"['Tableau', 'PowerBI', 'written', 'project management', 'verbal communication', 'analytical', 'financial analysis', 'IT Skills']",7-12 Yrs,"['CA in Any Specialization, M.Tech in Any Specialization, MBA/PGDM in Any Specialization, CS in Any Specialization, M.Com in Any Specialization']"
FUTURES AND CAREERS,"Job Opportunity For ""Phlebotomist ""","['venepunctures', 'blood sample', 'finger stick']",2-3 Yrs,['Other Graduate']
Sai Placement  ,ADL Head/ General Manager,"['Head', 'analytical', 'ADL', 'Method development', 'Team handling', 'GM', 'DGM', 'analysis']",12-22 Yrs,['Ph.D/Doctorate in Any Specialization']
Squareroot Consulting Pvt Ltd.,Database Architect - Cloud Infrastructure,"['Golang', 'Java', 'Open Source', 'Database Design', 'Distributed Systems', 'Algorithm', 'Cloud Infrastructure', 'DBA Support']",10-16 Yrs,"['B.Tech/B.E. in Computers', 'M.Tech in Computers', 'Ph.D/Doctorate in Computers']"
VHR PROFESSIONAL SERVICES PRIVATE LIMITED    ,Data Scientist,"['Data Scientist', 'Statistical Analysis', 'data visualization', 'R', 'phython', 'MySQL', 'Data Mining', 'CRM']",6-11 Yrs,['Any Graduate']
Zend Consulting Services ,Senior Marketing Manager - For a Large FMCG / Food / Cosmetics / Org!,"['Digital Marketing', 'Marketing', 'Brand Management', 'PR', 'Public Relations', 'Skin Care', 'Product Introduction', 'Social Media Marketing']",10-19 Yrs,['Any Graduate']
Apex  ,Manager Design - Rotary Equipment,"['DESIGN', 'ROTARY EQUIPMENT']",5-10 Yrs,"['B.Tech/B.E. in Mechanical, Metallurgy']"
HR Capital Consulting   ,Sampling Incharge,"['Sample Development', 'sampling process', 'woven', 'hifashion', 'Womens Wear']",7-12 Yrs,['Any Graduate']
AUM people operations Pvt Ltd  ,Manager Turnkey Solutions,['Turnkey Project Management'],15-20 Yrs,['B.Tech/B.E. in Any Specialization']
Zodiac  HR Consultants (I) Pvt Ltd.,Formulation Head,"['Opthalmic', 'Injectable', 'Liquids', 'Tablets', 'ANDA', 'ADL', 'Formulation Development', 'Semisolids']",17-25 Yrs,"['B.Pharma in Any Specialization', 'M.Pharma in Any Specialization']"
SKILLVENTORY,"Director - Motor Assembly, For a leading EV Brand","['Assembly Head', 'Motor Assembly Line', 'Electric', 'Motor Assembly', 'Grinding']",15-25 Yrs,['B.Tech/B.E. in Any Specialization']
IFANglobal India Pvt. Ltd. ,Executive Assistant Required (Female)- Gurgaon,"['personal assistance', 'data analysis', 'Personnel Administration', 'ms office tools', 'administration', 'time management', 'research analysis', 'Organizational Management']",2-6 Yrs,['Any Postgraduate']
ProGetters   ,Depository Executive,"['Depository', 'Depository Services', 'Banking Operations', 'Data Entry', 'Operations']",2-5 Yrs,['Any Graduate']
Talent Destination,Lead Data Scientist,"['Data Science', 'rest api', 'Python', 'Docker', 'Data Scientist', 'aws']",6-10 Yrs,['B.Tech/B.E. in Any Specialization']
JOBS EXPERT PRIVATE LIMITED  ,Java Full Stack Developer,"['Struts', 'React', 'Struts 2', 'Angular', 'Java', 'Spring boot', 'Java 8 or 8+', 'Spring']",6-10 Yrs,['Any Graduate']
CREATIVE ENTERPRISES ,South India DMC Senior Operation Manager,"['Hotel Contracting', 'Itinerary', 'Dmc', 'Operations', 'Costing', 'Product Design']",1-6 Yrs,['Graduation Not Required']
CONNECTORS ,Executive - R&D (Bakery Culinary),"['R&D', 'Fats', 'Edible oil']",2-7 Yrs,['B.Tech/B.E. in Any Specialization']
Search Square ,Assistant Manager / DM ( Female ) For Healthcare MNC in Delhi,"['HR Generalist Activities', 'HR Operations']",6-11 Yrs,"['Any Graduate', 'MBA/PGDM in HR/Industrial Relations']"
Bhartia Management Consultancy ,Procurement (Manager/Sr.Manager),"['purchase', 'vendor development', 'procurement', 'TCO', 'materials management', 'engineering', 'Heavy Engineering', 'Contract Negotiations']",10-20 Yrs,['B.Tech/B.E. in Any Specialization']
UPSInverter.com ,Pcb Designer,"['Altium Designer', 'Protel', 'symatic', 'Altium']",3-4 Yrs,['B.Tech/B.E. in Electronics/Telecommunication']
Squareroot Consulting Pvt Ltd.,SMTS/PMTS - Golang/Python/Java,"['Java', 'conflict resolution', 'fault tolerance', 'Concurrency', 'Distributed Systems', 'scalability', 'Python', 'highvolume']",3-8 Yrs,"['B.Tech/B.E. in Computers', 'M.Tech in Computers', 'Ph.D/Doctorate in Computers']"
Zenith Services  ,SQA Manager,"['QA', 'STLC', 'SDLC', 'Saas Product Development', 'Devops']",12-16 Yrs,['B.Tech/B.E. in Any Specialization']
Shanvi Staffing And Training Services ,Solution Architect- Bangalore,"['Java', 'System Manageability', 'Storage', 'Product development', 'Python', 'REST APIs']",15-22 Yrs,['Any Graduate']
Sai Placement  ,HEAD/GM - R&D (Chemical industry),"['Head', 'research', 'chemical', 'Development', 'GM', 'BMR', 'Process Improvement', 'technology transfer']",15-24 Yrs,['Ph.D/Doctorate in Any Specialization']
Pragmatic HR Consultants ,Senior Officer - R & D,"['R&D', 'Ceramics', 'Technology Transfer', 'coatings development', 'Refractory coatings', 'refractory testing', 'additives testing', 'Coating']",2-7 Yrs,"['B.Tech/B.E. in Ceramics', 'M.Tech in Ceramics']"
Stanford Jobz ,Urgent Jira Administrator in Navi Mumbai,"['Jira developer', 'Jira Administrator', 'JIRA', 'Atlassian']",1-3 Yrs,['Any Graduate']
BHAGAT HR SERVICES ,AGM/ Sr. Manager( Design /tendering) - Water & Sewage Treatment,"['Head Of Tender', 'Tender & Design Head', 'design detailing', 'design & costing of WTP & STP', 'Tendering', 'Tender Management', 'Underground drainage works', 'Tender Preparation']",15-20 Yrs,"['B.Tech/B.E. in Mechanical, Civil']"
SKILLVENTORY,Team Lead - PLM Solution Architect For a leading Manuf Brand,"['PLM', 'PLM Architect', 'NPD', 'New Product Development', 'Team Leading', 'Process Definition', 'Solution Architecture']",10-15 Yrs,"['B.Tech/B.E. in Any Specialization', 'M.Tech in Any Specialization, MCA in Any Specialization']"
Squareroot Consulting Pvt Ltd.,Full Stack Architect - React.js/Redux,"['Technical Architect', 'Java', 'AngularJS', 'Redux', 'Distributed Systems', 'Algorithm', 'Architect', 'Microservices Architecture']",8-13 Yrs,"['B.Tech/B.E. in Any Specialization', 'MCA in Any Specialization, M.Tech in Any Specialization', 'Ph.D/Doctorate in Computers']"
GLOBAL TALENT SOLUTIONS ,Merchandiser,"['Testing Process', 'Product Development', 'Costing', 'Textile', 'quilts', 'soft home', 'Production', 'Sample Development']",3-6 Yrs,['Any Graduate']
EXPONENT CONSULTING PRIVATE LIMITED,International Marketing Manager-Automobiles,"['International Marketing', 'PR', 'Overseas Marketing', 'Branding', 'Export Marketing']",9-12 Yrs,['Any Graduate']
VM PLACEMENT SOLUTIONS ,Asst. Manager/ Manager-Design (cutting Tools),"['Designing and 3D modelling  of milling cutters turning holder and boring tools', '2D and 3D design software knowledge  preferably AutoCAD and Inventor knowledge']",7-12 Yrs,"['B.Tech/B.E. in Mechanical, Diploma in Mechanical']"
Nishra Associates   ,Sr. Manager DRA ROW,"['Drug Regulatory Affairs', 'Dossier submission', 'CTD', 'ectd', 'DRA', 'Regulatory Affairs', 'Dossier Preparation', 'DRA ROW']",14-20 Yrs,"['B.Pharma in Any Specialization', 'M.Pharma in Any Specialization, MS/M.Sc(Science) in Any Specialization']"
BHAGAT HR SERVICES ,Embedded Firmware Developer - EV Automotive Industry.,"['Linux', 'Microcontroller', 'Embedded Firmware Developer', 'UART', 'Device driver development', 'MODBUS', 'RTOS', 'ethernet']",1-2 Yrs,['B.Tech/B.E. in Electronics/Telecommunication']
CAREER SOLUTIONS ,Production Supervisor,"['Production Management', 'Production Control', 'Production Coordination']",2-5 Yrs,['Any Graduate']
QUESTWORKX   ,Nutrition Expert (Dairy),"['Formulation', 'Nutritional Analysis', 'Nutrition', 'Nutritionist Activities']",5-10 Yrs,['Any Graduate']
SKILLVENTORY,Automation Testing with a Leading Investment Organisation,"['Development Testing', 'Product Development', 'Project Execution', 'Software Development', 'Product Quality', 'Automation Testing', 'Customer Satisfaction', 'Senior Management']",4-7 Yrs,['Any Graduate']
Samridhi    ,Urgent hiring For OAM Architect - Bangalore,"['cloud', 'design development', 'OAM', 'operability']",5-10 Yrs,['Any Graduate']
SKILLVENTORY,Solution Architect with a leading Education Company,"['Product Development', 'B', 'IT Architecture', 'Technology Solutions', 'Code Review', 'Solution Design', 'Solution Implementation']",7-10 Yrs,['Any Graduate']
